"Country Name","Country ISO3","Year","Indicator Name","Indicator Code","Value"
"Uganda","UGA",2020,"Agricultural land (% of land area)","AG.LND.AGRI.ZS",72.4527305015363
"Uganda","UGA",2021,"Agricultural land (% of land area)","AG.LND.AGRI.ZS",72.7685828355607
"Uganda","UGA",2022,"Agricultural land (% of land area)","AG.LND.AGRI.ZS",74.6728854847606
"Uganda","UGA",2023,"Agricultural land (% of land area)","AG.LND.AGRI.ZS",71.681721661007
